Title,Artist,Album,TrackURI
忘了如何遺忘,郭靜,忘了如何遺忘,spotify:track:4I0eQeDDQ0azkxowydDxVl
浪漫血液,林俊傑,新地球,spotify:track:2Eec6lB0C8H16pvmoTUK02
手心的薔薇 (ft. 鄧紫棋),林俊傑;鄧紫棋,新地球,spotify:track:0w0u6SaUF3mtxMX0Dohnud
可惜沒如果,林俊傑,新地球,spotify:track:0E8P8DNhj10IAF62AAjpgd
我天生 - 有夢版,告五人,我天生 - 有夢版,spotify:track:2YtxuYoG085nAa0F23c8Ln
回來吧,五月天,神的孩子都在跳舞,spotify:track:5qDovJsSnYSKCWSpNq8AaH
落葉歸根,王力宏,改變自己,spotify:track:6aF2RVTPJSJCM1MpUjne5X
流沙,陶喆,陶喆同名專輯,spotify:track:5ZZwQy1wofQhj7LJDNLflT
Fly Away,飛兒樂團,飛兒樂團,spotify:track:6AaJt7d3FEfwAPudoXbeKG
你敢不敢,徐佳瑩,理想人生,spotify:track:2bkrZWJ7JRXPOal7pWiyDO
Make Me Love You,太妍,My Voice - The 1st Album (Deluxe Edition),spotify:track:0AUxbbqFtXJGE7Fn3jkGX5
夠愛,曾沛慈;東城衞,強辯之終極三國 - 三團鼎立Super大鬥陣,spotify:track:47rK8X3g7U4rkesGoImcWs
暖心,郁可唯,犀利人妻。幸福秘笈 音樂圖文原聲帶,spotify:track:7jFMMwFNnCNcQC7fuLcX5u
猜不透,丁噹,下一站，天后演唱會live DVD+CD,spotify:track:5zc3fLqOs8RuqYJbRiHKLb
猜不透,戴佩妮,Penny,spotify:track:7ly5YDi944FqSQ9A3AbMQP
寂寞的季節,陶喆,樂之路,spotify:track:03xMCZmdtvF2LAK2Fizm9y
新地球,林俊傑,新地球,spotify:track:5aGeWhnZe80YNJ8loeEBQZ
Melody,陶喆,黑色柳丁,spotify:track:6A4wVKbcg0mRriCFjZzX0Z
天使之戀,黃鶯鶯,天使之戀,spotify:track:5SSly0vOYiw3vSUVm2DcMO
回留,方大同,夢想家 The Dreamer,spotify:track:5iFT7yzuvfK8WOqiN22QqX
與海無關 (《比悲傷更悲傷的故事》影集版插曲),告五人,運氣來得若有似無,spotify:track:4HMsQy6myJNy1GoCLsIDDR
知足 (諾亞方舟 10週年進化),五月天;告五人,知足,spotify:track:5chcwiV9mmq2vllfsxVCEu
我想要佔據你,告五人,帶你飛,spotify:track:14GFYAUxkeXranhS2qrYIZ
如果愛,方大同,橙月,spotify:track:4TKYEXzvIlTRmClMXvqBiP
Singalongsong,方大同,橙月,spotify:track:0NnujAWj2iqdppiYDTRYY5
寫一首歌,蛋堡;方大同,你所不知道的杜振熙之內部整修,spotify:track:3KQN6Qr7BNyvwOUjXDVSaM
南音,方大同,Soulboy,spotify:track:63ij5PLAhzB4iVrkIP9bQ6
心裡有針,蕭煌奇,愛作夢的人,spotify:track:2NAEtdTcxwk5hB19cjGAB0
拋物線,蔡健雅,若你碰到他,spotify:track:2oZJWtQZ6CLPHHsnUhC3IY
無可救藥,品冠,愛到無可救藥,spotify:track:5mRjqXsHtiCozIEogkTVnk
十九八七,方大同,未來,spotify:track:0IBtVSJVc3z19nkpKIfe9w
牆外的風景（蘇打綠版）,蘇打綠,冬 未了（蘇打綠版）,spotify:track:4dPOzvuJsws9osJRwOe4qE
If You Leave Me Now,方大同,愛愛愛,spotify:track:6jXm1x4qR2ayboZgRbbAxH
詩人的情人,方大同,愛愛愛,spotify:track:31Oe1fI3FV7DU47LF5L6JW
手拖手,方大同,愛愛愛,spotify:track:5ZNaHHftJ1cFeCj60v0Xmy
關於愛的定義,方大同,回到未來,spotify:track:2LouHht0S8wELWS8W1nTBu
自以為 (feat. 徐佳瑩),方大同;徐佳瑩,15,spotify:track:7jsqDzpSJ73XKDfohSuSMO
好不容易,方大同,15,spotify:track:7mhDvCdRYudqBbJfBU4uuN
1234567,方大同,橙月,spotify:track:3MrOnmUvNzuGcXRaFup9Nw
春風吹,方大同,Soulboy,spotify:track:2NVEu1bHkZ2hbCLpLWAEig
誰知愛是什麼,方大同,夢想家 The Dreamer,spotify:track:1hEF27Nixp4uv8K33e2Q7z
黑白,方大同,橙月,spotify:track:2WvUDNEW4LvDDNq3DY0gY8
愛在,方大同,未來,spotify:track:2Eyeq5dVFt1UgyDji5je97
因為你,方大同,15,spotify:track:14LL3tolxYbhNS9p5Ft0ul
才二十三,方大同,夢想家 The Dreamer,spotify:track:1h1odoIBoxI1BvZUpoAGcH
Silent Angel,蘇打綠,Silent Angel,spotify:track:149HyhgmTTcUbcLpZfouli
沒那麼愛他,范瑋琪,Faces of FanFan 新歌+精選,spotify:track:6RxDWV0rRwx1DbxfymiIBP
後青春期的詩,五月天,後 青春期的詩,spotify:track:4FxjsXRvVK7FMqV1yFnxYz
心裡的孩子,梁文音,黃色夾克,spotify:track:3ziOCLfkkS3DomqDL79jML
你存在,梁文音,你存在,spotify:track:4o34abHrsUXOpw64ImhfjK
最幸褔的事,梁文音,愛的詩篇,spotify:track:08MqX96UfHgWEoEJSYKbeg
愛一直存在,梁文音,"愛,一直存在",spotify:track:3z5MabmnwlfuOK1n1qPnKx
慢一點,梁文音,情歌比情人還懂,spotify:track:3GJz0ScOQdBph0qgWNRcaA
和平分手,梁文音;蕭煌奇,副駕駛座的風景,spotify:track:5vL8cgLYwcoQND7z1m2iRN
傷心1999,王傑,從今開始,spotify:track:5oP4SNr0QQEMqz5rg62N6E
當我們一起走過,蘇打綠,你在煩惱什麼,spotify:track:1aIDmi7GhfDSVGzsPH3cV4
千本桜,KuroUsa(WhiteFlame),千本桜,spotify:track:38mUTswfszVFQ952r89AP8
噢買尬,五月天,後 青春期的詩,spotify:track:11kaeQtkSpJSvOamJoYJNX
小情歌（蘇打綠版）,蘇打綠,小宇宙（蘇打綠版）,spotify:track:3O0TfMcoeKC0u035clU5nX
晩餐歌 - Bansanka,tuki.,15,spotify:track:075HUD50Nuea3rNaABIsNZ
快魚仔 - （花甲男孩轉大人片頭曲）,盧廣仲,【花甲男孩轉大人】盧廣仲全創作原聲帶,spotify:track:5ivB1jRs4UjqJDHop2gOTc
成全,劉若英,命中注定我愛你 電視原聲帶,spotify:track:7m5IIjvEhYeSdoCWa8HTGH
落雨聲,江蕙,江蕙 世紀紅歌,spotify:track:5X3Bt3Yh09XVrBT2pYeH4E
勁歌. 金曲2 (情歌王),古巨基,我還是你的 (情歌王),spotify:track:32R2MmFjXeAhN8VN6xtH35
任性 (電視劇《難哄》主題曲),五月天,任性,spotify:track:0kFTS4OH2t44gsLN0a8Khr
今天沒回家,陶喆,樂之路,spotify:track:2yC38czzbUGPTdZtYF0QYM
下一次擁抱,朱俐靜,快樂美人魚,spotify:track:7kzO9yjoRknT9VWhuRp58C
安靜(Feat.陳勢安) - 偶像劇《愛上哥們》插曲,朱俐靜;陳勢安,想念Miu精選,spotify:track:6ekOzAmypa40v916xFCdjz
存在的力量,朱俐靜,女神Miu朱俐靜 存在的力量,spotify:track:7l2SOJbmkxQHHNrqIuH3Vf
這樣愛你好可怕,林凡,眼淚流回去,spotify:track:462R5Q2fsLcjrf37vOFrwT
明明愛你,林凡,歲月這把刀,spotify:track:0AQioBUMrMN3ikEuv8sJjU
聽你說,林凡;郁可唯,微加幸福,spotify:track:6EhuHN0luniF6INnhTx6MH
摯友,周興哲,摯友,spotify:track:5evE7bweEhX83fd1ZmwPjP
你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,周興哲,你不屬於我 (《比悲傷更悲傷的故事》影集版片尾曲),spotify:track:5Y47GrCrjQY44qFv8Gt0Gm
學著愛,周興哲,學著愛,spotify:track:2kFiJdgxyQ3qYfRbK1ShyG
我愛過你,周興哲,我愛過你,spotify:track:2cQ8HVDAMdA9BxzbupdnC1
如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,周興哲,如果能幸福 (HBO Asia原創影集《戒指流浪記》片尾曲),spotify:track:0TVrlU8El0K6U1pC2LOt09
至少我還記得 - 天堂的微笑插曲,周興哲,終於了解自由 (Deluxe),spotify:track:5HsNeCFW47iV3YrBLnQk6j
愛情教會我們的事,周興哲,愛，教會我們的事,spotify:track:5rpg3gTAg1skfIL11ZcLeD
受夠,周興哲,小時候的我們,spotify:track:5JLLWtgBLRxpd4MRkGAm74
想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲,周興哲,想知道你在想什麼 (《我吃了那男孩一整年的早餐》電影主題曲),spotify:track:6whxKQ0Ocn1FmzpDc7lTHq
離開你以後 - 電影《你的婚禮》插曲,周興哲,離開你以後 (電影《你的婚禮》插曲),spotify:track:4cSCMlCcY65zlz1ZPhqsCe
我很快樂,周興哲,小時候的我們,spotify:track:0ztR7sCDXwCU5I8QJKemSU
永不失聯的愛,周興哲,如果雨之後,spotify:track:46fURCnWErjFdNM2yBJ2c8
怎麼了,周興哲,終於了解自由 (Deluxe),spotify:track:5cU1O9P0EDA0rPkPDykhIm
永不結束的情人節,周興哲,Almost 幾乎是愛情,spotify:track:65eQWI3IaDdrkbJcapwPwi
雪人,范曉萱,好想談戀愛,spotify:track:4yiv37jghNbGoBK4Y9l7cA
很愛很愛你,劉若英,很愛很愛你,spotify:track:3QGCfNhrkC1H55inex8red
各自安好,劉若英,各自安好,spotify:track:7ep5TafdBRpwCbwMciRPaU
不藥而癒 - 第三波,郭靜,下一個天亮,spotify:track:31VWgseQeMXzcNdOD4N9Xu
聊天,郭靜,你 朋友,spotify:track:2TNewzG8pEnxOSg7lBPNq7
我不想忘記你,郭靜,我不想忘記你,spotify:track:6sNXFtBPUvyFWEjSZhEwbd
分開不是誰不好,郭靜,我們曾相愛,spotify:track:1RE7hhxqUf33xMEZXaFsJJ
想個不停,郭靜,我不想忘記你,spotify:track:7KVLUj7CGyszm2oGQrPsPU
仨人,郭靜,我不想忘記你,spotify:track:23ilfdz398hTTmQecjfWUZ
忘了如何遺忘 - 電視劇《聶小倩》片尾曲,郭靜,我們曾相愛,spotify:track:674nj6KAb3IZPnZsyyBa6R
原来你都在,丁噹,當我的好朋友,spotify:track:3T6mn1NRGcqsC3P4pwveXN
很愛過,丁噹,未來的情人,spotify:track:0UCqLAn0cPPkND4YTaUQ73
滄海一聲笑,任賢齊,為愛走天涯,spotify:track:6dUXPqUSFDpH87H3fVxcAx
春天花會開,任賢齊,為愛走天涯,spotify:track:7cGep0ZtJKoObFSyMLpvNr
乾啦 乾啦 (feat. 阿信 & 任賢齊),八三夭;五月天 阿信;任賢齊,生存指南,spotify:track:5ZHspZHTPFFeuwujrHab1j
任逍遙,任賢齊,愛像太平洋,spotify:track:1006LKaYSxd86Jz4SzfF9a
我是一隻魚,任賢齊,任賢齊 Love & Beloved 2008 演唱會,spotify:track:0RKnZROYxDQojVXVlBBhOx
對面的女孩看過來,任賢齊,愛像太平洋,spotify:track:0d15NQr4odx2XoDGZ4AZUh
浪花一朵朵,任賢齊;阿牛;光良,影視歌全集,spotify:track:4z6Pu6AblxbQ0bFkOYkGK0
心太軟,任賢齊,心太軟,spotify:track:3nlN7Yt8JOLE9WJDh767fZ
傷心太平洋,任賢齊,任賢齊 Love & Beloved 2008 演唱會,spotify:track:0sFTMZdnVtnmqj9rymmCDU
愛要怎麼說,伍思凱,愛要怎麼說,spotify:track:1gYEgQYO5hArDSGaEEEWLv
大海,張雨生,大海,spotify:track:4XglvuvmwdVQ1MpV3zNUnR
