Title,Artist,Album 
#時をめくる指,下村陽子;suis from Yorushika,ゆうちょPayオリジナルイメージソング #時をめくる指
Heikousen,Eve;suis from Yorushika,Heikousen
紙ひこうき,suis from Yorushika;Evan Call,アニメ『カイリューとゆうびんやさん』主題歌「紙ひこうき」
Heikousen,Eve;suis from Yorushika,Kaizin
Rain - Version for Piano Trio,坂本龍一;Jaques Morelenbaum;David Nadien,1996
願い〜あの頃のキミへ〜,MIREI,願い〜あの頃のキミへ〜
太陽,ヨルシカ,太陽
ルバート,ヨルシカ,ルバート
451,ヨルシカ,451
テレパス,ヨルシカ,テレパス
チノカテ,ヨルシカ,チノカテ
ブレーメン,ヨルシカ,ブレーメン
月に吠える,ヨルシカ,月に吠える
老人と海,ヨルシカ,老人と海
又三郎,ヨルシカ,又三郎
風を食む,ヨルシカ,創作
嘘月,ヨルシカ,創作
島人ぬ宝,BEGIN,ビギンの島唄 ～オモトタケオ２
海の声,Taro Urashima,海の声
夕凪、某、花惑い,ヨルシカ,エルマ
4月10日,ヨルシカ,だから僕は音楽を辞めた
エルマ,ヨルシカ,だから僕は音楽を辞めた
5月6日,ヨルシカ,だから僕は音楽を辞めた
夜紛い,ヨルシカ,だから僕は音楽を辞めた
五月は花緑青の窓辺から,ヨルシカ,だから僕は音楽を辞めた
六月は雨上がりの街を書く,ヨルシカ,だから僕は音楽を辞めた
7月13日,ヨルシカ,だから僕は音楽を辞めた
8月31日,ヨルシカ,だから僕は音楽を辞めた
ノーチラス,ヨルシカ,エルマ
海底、月明かり,ヨルシカ,エルマ
心に穴が空いた,ヨルシカ,エルマ
湖の街,ヨルシカ,エルマ
憂一乗,ヨルシカ,エルマ
車窓,ヨルシカ,エルマ
幼年期、思い出の中,ヨルシカ,盗作
逃亡,ヨルシカ,盗作
朱夏期、音楽泥棒,ヨルシカ,盗作
青年期、空き巣,ヨルシカ,盗作
春ひさぎ,ヨルシカ,盗作
昼鳶,ヨルシカ,盗作
音楽泥棒の自白,ヨルシカ,盗作
月に吠える,ヨルシカ,幻燈
藍二乗,ヨルシカ,藍二乗
唱,Ado,唱
W / X / Y,Tani Yuuki,Memories
パレード,ヨルシカ,だから僕は音楽を辞めた
詩書きとコーヒー,ヨルシカ,だから僕は音楽を辞めた
夏陰、ピアノを弾く,ヨルシカ,夏草が邪魔をする
落下,ヨルシカ,負け犬にアンコールはいらない
風を食む,ヨルシカ,風を食む
First Love,宇多田光,First Love
爆弾魔,ヨルシカ,負け犬にアンコールはいらない
大正浪漫,YOASOBI,大正浪漫
Monster,YOASOBI,E-SIDE
センチメンタルクライシス,四宮かぐや(CV:古賀葵),KAGUYA ULTRA BEST
心做し - 2017 Live Version,majiko,Live 2017
もう別れたんだよキミとは,AYANE,もう別れたんだよキミとは
すべての歌に懺悔しな！！,桑田佳祐,孤独の太陽
優しい彗星,YOASOBI,優しい彗星
星めぐる詩,suis from Yorushika,星めぐる詩
For フルーツバスケット,岡崎律子,For フルーツバスケット / 小さな祈り
GO!!!(20周年アニバーサリーバージョン),FLOW,GO!!!(20周年アニバーサリーバージョン)
