Title,Artist,Album,TrackURI
#時をめくる指,下村陽子;suis from Yorushika,ゆうちょPayオリジナルイメージソング #時をめくる指,spotify:track:1sAg8Mb3Mt0g9bAtSOquEG
Heikousen,Eve;suis from Yorushika,Heikousen,spotify:track:6QX5xybvl9Gk750M5Mm4qe
紙ひこうき,suis from Yorushika;Evan Call,アニメ『カイリューとゆうびんやさん』主題歌「紙ひこうき」,spotify:track:0BHWsaVofTldxGF9PvxCCe
Heikousen,Eve;suis from Yorushika,Kaizin,spotify:track:5hdYHlf3e2x2XtWI8gr9mB
Rain - Version for Piano Trio,坂本龍一;Jaques Morelenbaum;David Nadien,1996,spotify:track:3mlqYwpqk8g5CFxmaJjAKv
願い〜あの頃のキミへ〜,MIREI,願い〜あの頃のキミへ〜,spotify:track:1PorbjbOLFQDlKIWeCjOr0
太陽,ヨルシカ,太陽,spotify:track:1JNQLqxqvwHDekTfOhs4wu
ルバート,ヨルシカ,ルバート,spotify:track:1w3837OMA0xxpFqqMtL7B5
451,ヨルシカ,451,spotify:track:3M6R3MaIkliOaZQ4YX67W1
テレパス,ヨルシカ,テレパス,spotify:track:7C37yaKPoOJHUvlNYv991q
チノカテ,ヨルシカ,チノカテ,spotify:track:7w1taFiEu8GGQJkzQaEWpx
ブレーメン,ヨルシカ,ブレーメン,spotify:track:007tbArpeenE3cbJU5I3PL
月に吠える,ヨルシカ,月に吠える,spotify:track:7sLxvJ2Lj4Kf2K6Wa7OEk1
老人と海,ヨルシカ,老人と海,spotify:track:5yZCsL6wNFtUNAomeWTQJZ
又三郎,ヨルシカ,又三郎,spotify:track:3WtIXrla0ovC9MOIY78Vr8
風を食む,ヨルシカ,創作,spotify:track:7kzqwGdNtsAYEdFQhyVYMm
嘘月,ヨルシカ,創作,spotify:track:4MwVirVMyerMiHkFomOZay
島人ぬ宝,BEGIN,ビギンの島唄 ～オモトタケオ２,spotify:track:41nBBliSNmH1Qv9HSjHF9l
海の声,Taro Urashima,海の声,spotify:track:6EjGsUuJmyxdHjKzGN8kPy
夕凪、某、花惑い,ヨルシカ,エルマ,spotify:track:3gY1UX6zV7IQAKcBgi2gcm
4月10日,ヨルシカ,だから僕は音楽を辞めた,
エルマ,ヨルシカ,だから僕は音楽を辞めた,spotify:track:5YCwibP7MrreKevBdimMZU
5月6日,ヨルシカ,だから僕は音楽を辞めた,
夜紛い,ヨルシカ,だから僕は音楽を辞めた,spotify:track:0oP2Xuft7MjxRZrSCTwyr6
五月は花緑青の窓辺から,ヨルシカ,だから僕は音楽を辞めた,spotify:track:26GW1dAtZ9Ya1GB7bbB9aO
六月は雨上がりの街を書く,ヨルシカ,だから僕は音楽を辞めた,spotify:track:7q0rpYkJLqXduCHgMXE5oA
7月13日,ヨルシカ,だから僕は音楽を辞めた,
8月31日,ヨルシカ,だから僕は音楽を辞めた,
ノーチラス,ヨルシカ,エルマ,spotify:track:6B8gUB7PhCUDbCO0OiesrB
海底、月明かり,ヨルシカ,エルマ,spotify:track:56xDh58H5z7NPMlgXkTQA3
心に穴が空いた,ヨルシカ,エルマ,spotify:track:0fFPF89LHrD2ziMbeLSxXy
湖の街,ヨルシカ,エルマ,spotify:track:5WcMvxjo8J4Lzp8GnQR1Gm
憂一乗,ヨルシカ,エルマ,spotify:track:0yVovOZGZtBXoZQr5gakeb
車窓,ヨルシカ,エルマ,spotify:track:6Z6dzWu4OyvIrEdDwaUXUm
幼年期、思い出の中,ヨルシカ,盗作,spotify:track:7fgFJx02miHDqWFdvpC95M
逃亡,ヨルシカ,盗作,spotify:track:444TdAemfLOz77t9dlCeAa
朱夏期、音楽泥棒,ヨルシカ,盗作,spotify:track:4iStC23BqfDS3TKZsKR5Ep
青年期、空き巣,ヨルシカ,盗作,spotify:track:3YkfVM4lIT6kJHgiiHg00A
春ひさぎ,ヨルシカ,盗作,spotify:track:5SsPAOA11rQQdV4hSeOlpI
昼鳶,ヨルシカ,盗作,spotify:track:4MEr1Y8pLCtZ4gW5MriwB9
音楽泥棒の自白,ヨルシカ,盗作,spotify:track:6nLZy0j7qHm88glCrmJXU4
月に吠える,ヨルシカ,幻燈,spotify:track:3uonNvOEbpwzyP7JJub2NM
藍二乗,ヨルシカ,藍二乗,spotify:track:5XApCrSTIAPapBPT1Vo4SZ
唱,Ado,唱,spotify:track:2tlOVDJ3lQsUxz22vPJ4c4
W / X / Y,Tani Yuuki,Memories,spotify:track:4IfrM44LofE9bSs6TDZS49
パレード,ヨルシカ,だから僕は音楽を辞めた,spotify:track:2SdXNiI9ny1WunIx4A7Bjg
詩書きとコーヒー,ヨルシカ,だから僕は音楽を辞めた,spotify:track:296hhXjbt43FQe30TvlZTE
夏陰、ピアノを弾く,ヨルシカ,夏草が邪魔をする,spotify:track:2PZR7FcWfSTlXr5lQgVZKd
落下,ヨルシカ,負け犬にアンコールはいらない,spotify:track:6hsZkg5ssSa2S8DHV9XJqd
風を食む,ヨルシカ,風を食む,spotify:track:68OYaxreTGmAuD9cAztr2p
First Love,宇多田光,First Love,spotify:track:39HrUxcvKF3jtLz7fUDWXc
爆弾魔,ヨルシカ,負け犬にアンコールはいらない,spotify:track:2L9dBaAmQ5qydXHSz8bN96
大正浪漫,YOASOBI,大正浪漫,spotify:track:3uw93CiI34uZlfk8ywep1e
Monster,YOASOBI,E-SIDE,spotify:track:6MWSM29PKOAyGPl2Xtnt1j
センチメンタルクライシス,四宮かぐや(CV:古賀葵),KAGUYA ULTRA BEST,spotify:track:0W4Ke3QvBn1I8jBqbv9A0X
心做し - 2017 Live Version,majiko,Live 2017,spotify:track:4d1DOtMaEGKjyqyqufImPn
もう別れたんだよキミとは,AYANE,もう別れたんだよキミとは,spotify:track:454pecSeENSWNscfybD7RW
すべての歌に懺悔しな！！,桑田佳祐,孤独の太陽,spotify:track:0PBl93lJfon98ZyO2U82CQ
優しい彗星,YOASOBI,優しい彗星,spotify:track:19fhOFi6pNGeZe5uiFlm7c
星めぐる詩,suis from Yorushika,星めぐる詩,spotify:track:30aPCMAtkH6Cf5ejzY4cE4
