Title,Artist,Album 
Con Te Partirò,Andrea Bocelli,Bocelli (Remastered)
Walk with Me (Single from the Midnight Sun Original Motion Picture Soundtrack),Bella Thorne,Walk with Me
Walk with Me,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack)
Reaching,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack)
Sweetest Feeling,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack)
Burn So Bright (Single from Midnight Sun Soundtrack),Bella Thorne,Burn So Bright (Single from Midnight Sun Soundtrack)
Burn so Bright,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack)
Where I Stand,Mia Wray,Midnight Sun (Original Motion Picture Soundtrack)
Story of My Life,One Direction,Midnight Memories (Deluxe)
ALWAYS,YOON MIRAE,Descendants Of The Sun Pt.1 (Original Television Soundtrack)
Risk,Gracie Abrams,The Secret of Us
On My Way,Alan Walker;Sabrina Carpenter;Farruko,On My Way
Someone Like You,Adele,21
A World of Your Own,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack)
A Hatful of Dreams,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack)
You've Never Had Chocolate Like This,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack)
You've Never Had Chocolate Like This (Hoverchocs),Timothée Chalamet,Wonka (Original Motion Picture Soundtrack)
"Pure Imagination (from ""Wonka"")",Timothée Chalamet,Wonka (Original Motion Picture Soundtrack)
Begin Again,Taylor Swift,Red
U,SUPER JUNIOR,U
Aikotoba,Tani Yuuki,Memories
Kokoronashi,majiko,Contrast
Poker Face,Lady Gaga,Poker Face
Way Back Into Love,Hugh Grant;Haley Bennett,Music And Lyrics - Music From and Inspired By The Motion Picture (International Release)
Silent Night,Taylor Swift,The Taylor Swift Holiday Collection
Older,Sasha Alex Sloan,Loser
Bad Dreams,Teddy Swims,Bad Dreams
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1)
L.I.F.E.,Teddy Swims,Unlearning
Die With A Smile,Lady Gaga;Bruno Mars,Die With A Smile
18,One Direction,FOUR (Deluxe)
Perfect,One Direction,Made In The A.M. (Deluxe Edition)
Night Changes,One Direction,FOUR (Deluxe)
Dans les yeux d'Émilie,Joe Dassin,Les Femmes De Ma Vie
Les Champs-Elysées,Joe Dassin,Joe Dassin Éternel... (Edition deluxe)
Jamirobeegees Mashup: Stayin' Alive / Virtual Insanity,Pomplamoose,Best of 2018
Bust Your Knee Caps - Johnny Don't Leave Me,Pomplamoose,Hey It's Pomplamoose
Les Champs-Elysées,Pomplamoose;John Schroeder,En Français
Les Champs-Elysées,Joe Dassin,Les Champs-Elysées
toxic till the end,ROSÉ,rosie
APT.,ROSÉ;Bruno Mars,rosie
Abracadabra,Lady Gaga,Abracadabra
