Title,Artist,Album,TrackURI
Con Te Partirò,Andrea Bocelli,Bocelli (Remastered),spotify:track:7zrpoAJte9o12TzawqgdD0
Walk with Me (Single from the Midnight Sun Original Motion Picture Soundtrack),Bella Thorne,Walk with Me,spotify:track:4lfVHiLJGnM2QCpfMecqCn
Walk with Me,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack),spotify:track:4b1JnjZRkISKBgJEgfrp3u
Reaching,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack),spotify:track:0D3v4te39AchQOkHg6bsxO
Sweetest Feeling,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack),spotify:track:4MNaXGxILxXbYdDZmRHVSS
Burn So Bright (Single from Midnight Sun Soundtrack),Bella Thorne,Burn So Bright (Single from Midnight Sun Soundtrack),spotify:track:4keNoFg6TQM6KUUdbYSFCW
Burn so Bright,Bella Thorne,Midnight Sun (Original Motion Picture Soundtrack),spotify:track:3uSKvZPyyXegKujOwenWEE
Where I Stand,Mia Wray,Midnight Sun (Original Motion Picture Soundtrack),spotify:track:69aRqqcNYSCWEF4voEZ4Sv
Story of My Life,One Direction,Midnight Memories (Deluxe),spotify:track:4nVBt6MZDDP6tRVdQTgxJg
ALWAYS,YOON MIRAE,Descendants Of The Sun Pt.1 (Original Television Soundtrack),spotify:track:4LsMjCB4qt4RnWcJBiHrA6
Risk,Gracie Abrams,The Secret of Us,spotify:track:5JiU3gLHz9AvUnrhXgOmos
On My Way,Alan Walker;Sabrina Carpenter;Farruko,On My Way,spotify:track:4n7jnSxVLd8QioibtTDBDq
Someone Like You,Adele,21,spotify:track:3bNv3VuUOKgrf5hu3YcuRo
A World of Your Own,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack),spotify:track:1ZfYtdc9FXkRmVXyNXxjoy
A Hatful of Dreams,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack),spotify:track:0FILw3ZbdxQFxR0ci91ONt
You've Never Had Chocolate Like This,Timothée Chalamet;The Cast of Wonka,Wonka (Original Motion Picture Soundtrack),spotify:track:3lsGSsT7qt3XLnnkEEPlFe
You've Never Had Chocolate Like This (Hoverchocs),Timothée Chalamet,Wonka (Original Motion Picture Soundtrack),spotify:track:6SqT13xIwmd1YmeV8nV1uv
"Pure Imagination (from ""Wonka"")",Timothée Chalamet,Wonka (Original Motion Picture Soundtrack),spotify:track:1m9TZ1dpYEQnczSsI6z9Ku
Begin Again,Taylor Swift,Red,spotify:track:0L4YCNRfXAoTvdpWeH2RGj
U,SUPER JUNIOR,U,spotify:track:7HKkudjI7pofH9oDqt3Y1T
Aikotoba,Tani Yuuki,Memories,spotify:track:4Z3I2zOnuy9snSs2BKWFo1
Kokoronashi,majiko,Contrast,spotify:track:1FXrYwvWwjmbw8cqFC1OWz
Poker Face,Lady Gaga,Poker Face,spotify:track:6w1hZMlo2SVuq29liebhb8
Way Back Into Love,Hugh Grant;Haley Bennett,Music And Lyrics - Music From and Inspired By The Motion Picture (International Release),spotify:track:0zYP35FfMItfaP6c9gcQZB
Silent Night,Taylor Swift,The Taylor Swift Holiday Collection,spotify:track:1cJkUN5LAotktryx2nPCr7
Older,Sasha Alex Sloan,Loser,spotify:track:3kywzyEr7V106Un5cDyh12
Bad Dreams,Teddy Swims,Bad Dreams,spotify:track:3nHuKdFJZm78CoeBnDcFKe
