Title,Artist,Album,TrackURI
"태양의 후예 (Original Television Soundtrack), Pt. 6 - 말해! 뭐해?",K.Will,"태양의 후예 (Original Television Soundtrack), Pt. 6 - 말해! 뭐해?",spotify:track:5bwZjteR12LZdlWbb3BXWu
Everytime,CHEN;Punch,"태양의 후예 (Original Television Soundtrack), Pt. 2",spotify:track:1UxYNCzvOgMMMvzQe66NIY
해야 (HEYA),IVE,IVE SWITCH,spotify:track:4gOwpU4kMZZNDWkoHYUj1Z
The visitor,IU,Love poem,spotify:track:3TGNR8la5ydvd6PaXnEpzH
LOCO,ITZY,CRAZY IN LOVE,spotify:track:56Yxkm62GtEpnPyG7TvwLY
Hope Not,BLACKPINK,Kill This Love,spotify:track:29fsVDL9T36N0tyD7ByLdI
Still Life,BIGBANG,Still Life,spotify:track:3TSLqZssCoCdDlMhCJ08XW
FANTASTIC BABY - Japanese ver.,BIGBANG,ALIVE,spotify:track:26JeAi8xsSvLRoNsl9B8Js
BANG BANG BANG,BIGBANG,MADE,spotify:track:3dI59jLoFMjMAyUAyRZnkE
내 목소리 들리니,BEN,Hotel del Luna (Original Television Soundtrack) Pt.9,spotify:track:6chlsBLGbBbBd4u21iqbIR
Sweet Dream,Jang Na-ra,Sweet Dream,spotify:track:2gx9ARIznyZBYa6YyWD5fo
애월랑 (愛月浪),Jang Yoon-Jeong,동이 OST Part.3,spotify:track:1dij5eaAsmZosiJmkTInE9
천애지아 (天崖至 睋 ),Jang Na-ra,동이 OST Part.1,spotify:track:1lXdZStJ1eAM3mFDE0QYeM
천애지아 (天崖至睋),Jang Na-ra,동이 OST,spotify:track:4jhIEOtIqzReY22TVShw74
LILAC,IU,IU 5th Album 'LILAC',spotify:track:5xrtzzzikpG3BLbo4q1Yul
Love poem,IU,Love poem,spotify:track:7HrE6HtYNBbGqp5GmHbFV0
YOU&I,IU,Last Fantasy,spotify:track:37S86pw74OH8j96ZmMnrpR
Celebrity,IU,IU 5th Album 'LILAC',spotify:track:5nCwjUUsmBuNZKn9Xu10Os
Into the I-LAND,IU,I-LAND Part.1 Signal Song,spotify:track:4YvtgtEH5E1pahZu9uzKRy
NAKKA (with IU),AKMU;IU,NEXT EPISODE,spotify:track:4t2FIqZJORKZGSKg30SShr
Every End of the Day,IU,The Spring of Twenty,spotify:track:5m2tbM2w8mG76uwFgla2iF
Good day,IU,REAL,spotify:track:1SwZVVH9BnXtLRLi2cbFhw
Jam Jam,IU,Palette,spotify:track:3h7WIL3B6nP3171zl6HWj8
Sleepless Rainy Night,IU,"A flower bookmark, Pt. 2",spotify:track:546tamGotuR5Mhbe35ONAv
Knees,IU,CHAT-SHIRE,spotify:track:3Sc3OHN2EnhsKwzt7hMFKQ
